x-axis,1,2,F1
second,Volt,Volt,Volt
-7.69000E-03,-1.99585939E+00,+1.92630916E+00,-3.90608740E+00
-7.68000E-03,-2.01595989E+00,+1.89741468E+00,-3.89729834E+00
-7.67000E-03,-1.98580914E+00,+1.91751519E+00,-3.88655615E+00
-7.66000E-03,-1.99585939E+00,+1.91625891E+00,-3.89632177E+00
-7.65000E-03,-1.97575888E+00,+1.91625891E+00,-3.87581396E+00
-7.64000E-03,-1.99585939E+00,+1.91751519E+00,-3.89632177E+00
-7.63000E-03,-1.98706542E+00,+1.90620865E+00,-3.87581396E+00
-7.62000E-03,-1.95691466E+00,+1.93635941E+00,-3.87581396E+00
-7.61000E-03,-1.96696491E+00,+1.91625891E+00,-3.86702490E+00
-7.60000E-03,-1.95565838E+00,+1.91625891E+00,-3.85628271E+00
-7.59000E-03,-1.95691466E+00,+1.91625891E+00,-3.85628271E+00
-7.58000E-03,-1.95691466E+00,+1.89615840E+00,-3.83577490E+00
-7.57000E-03,-1.96696491E+00,+1.88610815E+00,-3.83577490E+00
-7.56000E-03,-1.97575888E+00,+1.89615840E+00,-3.85628271E+00
-7.55000E-03,-1.95565838E+00,+1.89615840E+00,-3.83577490E+00
-7.54000E-03,-1.95565838E+00,+1.89615840E+00,-3.83577490E+00
-7.53000E-03,-1.95565838E+00,+1.87605790E+00,-3.81624365E+00
-7.52000E-03,-1.95565838E+00,+1.85721368E+00,-3.79671240E+00
-7.51000E-03,-1.96696491E+00,+1.86600765E+00,-3.81624365E+00
-7.50000E-03,-1.93555788E+00,+1.85721368E+00,-3.77620459E+00
-7.49000E-03,-1.93555788E+00,+1.86726393E+00,-3.78597021E+00
-7.48000E-03,-1.95691466E+00,+1.87605790E+00,-3.81624365E+00
-7.47000E-03,-1.96570863E+00,+1.86726393E+00,-3.81624365E+00
-7.46000E-03,-1.93681416E+00,+1.85595740E+00,-3.77620459E+00
-7.45000E-03,-1.93555788E+00,+1.85721368E+00,-3.77620459E+00
-7.44000E-03,-1.93555788E+00,+1.87605790E+00,-3.79573584E+00
-7.43000E-03,-1.93555788E+00,+1.86726393E+00,-3.78597021E+00
-7.42000E-03,-1.91671366E+00,+1.85595740E+00,-3.75667334E+00
-7.41000E-03,-1.91671366E+00,+1.84590715E+00,-3.74593115E+00
-7.40000E-03,-1.93555788E+00,+1.85595740E+00,-3.77522802E+00
-7.39000E-03,-1.92550763E+00,+1.84716343E+00,-3.75569677E+00
-7.38000E-03,-1.91545738E+00,+1.83711318E+00,-3.73616552E+00
-7.37000E-03,-1.91545738E+00,+1.83585690E+00,-3.73518896E+00
-7.36000E-03,-1.91545738E+00,+1.83711318E+00,-3.73616552E+00
-7.35000E-03,-1.89535687E+00,+1.85595740E+00,-3.73518896E+00
-7.34000E-03,-1.91671366E+00,+1.81701267E+00,-3.71663427E+00
-7.33000E-03,-1.90666341E+00,+1.82580664E+00,-3.71565771E+00
-7.32000E-03,-1.89661316E+00,+1.83585690E+00,-3.71565771E+00
-7.31000E-03,-1.91545738E+00,+1.81575639E+00,-3.71565771E+00
-7.30000E-03,-1.89535687E+00,+1.83585690E+00,-3.71565771E+00
-7.29000E-03,-1.90540713E+00,+1.82706293E+00,-3.71565771E+00
-7.28000E-03,-1.89661316E+00,+1.81575639E+00,-3.69514990E+00
-7.27000E-03,-1.90540713E+00,+1.81575639E+00,-3.70589209E+00
-7.26000E-03,-1.89535687E+00,+1.81575639E+00,-3.69514990E+00
-7.25000E-03,-1.88656291E+00,+1.80696242E+00,-3.67561865E+00
-7.24000E-03,-1.87651265E+00,+1.83585690E+00,-3.69514990E+00
-7.23000E-03,-1.87525637E+00,+1.82706293E+00,-3.68636084E+00
-7.22000E-03,-1.87525637E+00,+1.81575639E+00,-3.67561865E+00
-7.21000E-03,-1.87525637E+00,+1.80696242E+00,-3.66585302E+00
-7.20000E-03,-1.83631165E+00,+1.81575639E+00,-3.63557959E+00
-7.19000E-03,-1.85515587E+00,+1.80570614E+00,-3.64534521E+00
-7.18000E-03,-1.87525637E+00,+1.79691217E+00,-3.65608740E+00
-7.17000E-03,-1.86646240E+00,+1.80570614E+00,-3.65511084E+00
-7.16000E-03,-1.87525637E+00,+1.81575639E+00,-3.67561865E+00
-7.15000E-03,-1.86520612E+00,+1.80696242E+00,-3.65511084E+00
-7.14000E-03,-1.85641215E+00,+1.79565589E+00,-3.63557959E+00
-7.13000E-03,-1.88530662E+00,+1.77555539E+00,-3.64534521E+00
-7.12000E-03,-1.85515587E+00,+1.77555539E+00,-3.61507177E+00
-7.11000E-03,-1.86646240E+00,+1.77555539E+00,-3.62581396E+00
-7.10000E-03,-1.85515587E+00,+1.77555539E+00,-3.61507177E+00
-7.09000E-03,-1.85515587E+00,+1.77555539E+00,-3.61507177E+00
-7.08000E-03,-1.87525637E+00,+1.77681167E+00,-3.63460302E+00
-7.07000E-03,-1.84510562E+00,+1.78560564E+00,-3.61507177E+00
-7.06000E-03,-1.83505537E+00,+1.79565589E+00,-3.61507177E+00
-7.05000E-03,-1.83505537E+00,+1.78560564E+00,-3.60530615E+00
-7.04000E-03,-1.83631165E+00,+1.77555539E+00,-3.59456396E+00
-7.03000E-03,-1.83505537E+00,+1.77555539E+00,-3.59456396E+00
-7.02000E-03,-1.85515587E+00,+1.75545489E+00,-3.59456396E+00
-7.01000E-03,-1.82500512E+00,+1.76676142E+00,-3.57503271E+00
-7.00000E-03,-1.81621115E+00,+1.77555539E+00,-3.57503271E+00
-6.99000E-03,-1.83631165E+00,+1.76550514E+00,-3.58577490E+00
-6.98000E-03,-1.81621115E+00,+1.75671117E+00,-3.55550146E+00
-6.97000E-03,-1.82500512E+00,+1.75545489E+00,-3.56526709E+00
-6.96000E-03,-1.79611064E+00,+1.77555539E+00,-3.55550146E+00
-6.95000E-03,-1.80616090E+00,+1.75545489E+00,-3.54573584E+00
-6.94000E-03,-1.83505537E+00,+1.73535438E+00,-3.55452490E+00
-6.93000E-03,-1.84636190E+00,+1.74540464E+00,-3.57503271E+00
-6.92000E-03,-1.83505537E+00,+1.73535438E+00,-3.55452490E+00
-6.91000E-03,-1.80490461E+00,+1.74666092E+00,-3.53499365E+00
-6.90000E-03,-1.85515587E+00,+1.71651016E+00,-3.55452490E+00
-6.89000E-03,-1.81495487E+00,+1.73535438E+00,-3.53499365E+00
-6.88000E-03,-1.81495487E+00,+1.73535438E+00,-3.53499365E+00
-6.87000E-03,-1.81495487E+00,+1.72656041E+00,-3.52522802E+00
-6.86000E-03,-1.79611064E+00,+1.73535438E+00,-3.51546240E+00
-6.85000E-03,-1.81495487E+00,+1.72530413E+00,-3.52522802E+00
-6.84000E-03,-1.81495487E+00,+1.73661067E+00,-3.53499365E+00
-6.83000E-03,-1.79485436E+00,+1.75545489E+00,-3.53499365E+00
-6.82000E-03,-1.79611064E+00,+1.73535438E+00,-3.51546240E+00
-6.81000E-03,-1.77475386E+00,+1.74666092E+00,-3.50569677E+00
-6.80000E-03,-1.79485436E+00,+1.73535438E+00,-3.51448584E+00
-6.79000E-03,-1.79485436E+00,+1.73535438E+00,-3.51448584E+00
-6.78000E-03,-1.79485436E+00,+1.71525388E+00,-3.49495459E+00
-6.77000E-03,-1.80490461E+00,+1.71525388E+00,-3.50472021E+00
-6.76000E-03,-1.77601014E+00,+1.71525388E+00,-3.47542334E+00
-6.75000E-03,-1.78606039E+00,+1.72530413E+00,-3.49495459E+00
-6.74000E-03,-1.79485436E+00,+1.71525388E+00,-3.49495459E+00
-6.73000E-03,-1.79485436E+00,+1.69515338E+00,-3.47444677E+00
-6.72000E-03,-1.77601014E+00,+1.71525388E+00,-3.47542334E+00
-6.71000E-03,-1.79485436E+00,+1.70520363E+00,-3.48518896E+00
-6.70000E-03,-1.79485436E+00,+1.69640966E+00,-3.47444677E+00
-6.69000E-03,-1.78606039E+00,+1.70520363E+00,-3.47444677E+00
-6.68000E-03,-1.79611064E+00,+1.69515338E+00,-3.47444677E+00
-6.67000E-03,-1.78480411E+00,+1.69515338E+00,-3.46468115E+00
-6.66000E-03,-1.77475386E+00,+1.71525388E+00,-3.47444677E+00
-6.65000E-03,-1.77475386E+00,+1.70645991E+00,-3.46468115E+00
-6.64000E-03,-1.77475386E+00,+1.71651016E+00,-3.47444677E+00
-6.63000E-03,-1.75465336E+00,+1.71525388E+00,-3.45393896E+00
-6.62000E-03,-1.77475386E+00,+1.69640966E+00,-3.45491552E+00
-6.61000E-03,-1.76470361E+00,+1.70645991E+00,-3.45393896E+00
-6.60000E-03,-1.77475386E+00,+1.69640966E+00,-3.45393896E+00
-6.59000E-03,-1.77475386E+00,+1.70520363E+00,-3.46468115E+00
-6.58000E-03,-1.75590964E+00,+1.71525388E+00,-3.45491552E+00
-6.57000E-03,-1.76595989E+00,+1.69515338E+00,-3.44514990E+00
-6.56000E-03,-1.77475386E+00,+1.67630916E+00,-3.43538427E+00
-6.55000E-03,-1.75590964E+00,+1.69515338E+00,-3.43440771E+00
-6.54000E-03,-1.77475386E+00,+1.69515338E+00,-3.45393896E+00
-6.53000E-03,-1.77601014E+00,+1.69515338E+00,-3.45491552E+00
-6.52000E-03,-1.77475386E+00,+1.67630916E+00,-3.43440771E+00
-6.51000E-03,-1.76470361E+00,+1.68635941E+00,-3.43440771E+00
-6.50000E-03,-1.75590964E+00,+1.67505288E+00,-3.41487646E+00
-6.49000E-03,-1.77475386E+00,+1.68510313E+00,-3.44417334E+00
-6.48000E-03,-1.75590964E+00,+1.69515338E+00,-3.43440771E+00
